sleep_start,sleep_end,time_in_bed,minutes_sleep,minutes_awake
2017-10-23 23:09,2017-10-24 09:43,634,519,115
2017-10-24 23:48,2017-10-25 02:23,155,144,11
2017-10-25 03:43,2017-10-25 08:46,303,252,51
2017-10-25 22:02,2017-10-26 06:54,532,440,92
2017-10-27 00:39,2017-10-27 09:10,511,451,60
2017-10-28 00:48,2017-10-28 09:16,508,441,67
2017-10-29 01:30,2017-10-29 09:51,501,433,68
2017-10-29 23:49,2017-10-30 06:54,425,361,64
2017-10-30 23:35,2017-10-31 08:42,547,477,70
2017-11-01 00:31,2017-11-01 06:03,332,293,39
2017-11-01 08:18,2017-11-01 10:17,119,110,9
2017-11-01 23:11,2017-11-02 08:09,538,467,71
2017-11-03 00:42,2017-11-03 08:00,438,366,72
2017-11-03 23:19,2017-11-04 07:29,490,416,74
2017-11-05 01:26,2017-11-05 08:52,446,387,59
2017-11-05 22:27,2017-11-06 07:09,522,513,9
2017-11-06 08:13,2017-11-06 10:16,123,122,1
2017-11-06 23:02,2017-11-07 08:29,567,472,95
2017-11-08 00:46,2017-11-08 07:54,428,365,63
2017-11-09 00:28,2017-11-09 07:04,396,348,48
2017-11-09 23:22,2017-11-10 08:21,539,483,56
2017-11-10 23:50,2017-11-11 08:51,541,478,63
2017-11-12 02:10,2017-11-12 05:48,218,172,46
2017-11-12 06:58,2017-11-12 08:47,109,107,2
2017-11-12 13:56,2017-11-12 15:15,79,78,1
2017-11-13 01:28,2017-11-13 08:52,444,374,70
2017-11-14 02:05,2017-11-14 08:05,360,292,68
2017-11-14 23:53,2017-11-15 07:45,472,446,26
2017-11-15 23:43,2017-11-16 07:26,463,399,64
2017-11-16 10:55,2017-11-16 13:09,134,124,10
2017-11-17 00:51,2017-11-17 07:42,411,351,60
2017-11-18 00:01,2017-11-18 08:58,537,457,80
2017-11-18 14:00,2017-11-18 15:11,71,70,1
2017-11-18 22:49,2017-11-19 06:54,485,434,51
2017-11-20 00:19,2017-11-20 08:05,466,409,57
2017-11-21 00:28,2017-11-21 07:49,441,366,75
2017-11-21 23:55,2017-11-22 09:12,557,489,68
2017-11-22 23:52,2017-11-23 08:35,523,442,81
2017-11-24 00:29,2017-11-24 09:02,513,451,62
2017-11-24 12:43,2017-11-24 14:24,101,100,1
2017-11-25 00:33,2017-11-25 07:53,440,374,66
2017-11-26 01:41,2017-11-26 08:52,431,379,52
2017-11-26 23:54,2017-11-27 06:08,374,321,53
2017-11-27 22:38,2017-11-28 06:48,490,444,46
2017-11-29 02:04,2017-11-29 08:48,404,349,55
2017-11-29 23:18,2017-11-30 09:42,624,579,45
2017-11-30 13:37,2017-11-30 15:13,96,95,1
2017-12-01 01:13,2017-12-01 06:43,330,293,37
2017-12-01 08:00,2017-12-01 09:51,111,109,2
2017-12-02 01:08,2017-12-02 09:11,483,402,81
2017-12-02 23:53,2017-12-03 09:12,559,503,56
2017-12-03 12:10,2017-12-03 13:26,76,76,0
2017-12-04 00:03,2017-12-04 01:10,67,62,5
2017-12-05 22:38,2017-12-06 07:39,541,491,50
2017-12-07 00:51,2017-12-07 08:49,478,399,79
2017-12-07 12:00,2017-12-07 13:01,61,57,4
2017-12-09 00:36,2017-12-09 09:40,544,507,33
2017-12-09 13:06,2017-12-09 14:55,109,106,3
2017-12-10 00:51,2017-12-10 07:37,406,384,22
2017-12-11 02:00,2017-12-11 06:49,289,280,4
2017-12-11 17:02,2017-12-11 18:15,73,73,0
2017-12-11 23:52,2017-12-12 09:24,572,509,63
